Header format=1 ntrks=1 division=384
Track start
Time=0  Tempo, microseconds-per-MIDI-quarter-note=500000
Time=30972  Note on, chan=1 pitch=65 vol=79
Time=30976  Note on, chan=1 pitch=56 vol=70
Time=30980  Note on, chan=1 pitch=72 vol=67
Time=30980  Note on, chan=1 pitch=84 vol=67
Time=31016  Note on, chan=1 pitch=84 vol=0
Time=31016  Note on, chan=1 pitch=72 vol=0
Time=31016  Note on, chan=1 pitch=65 vol=0
Time=31020  Note on, chan=1 pitch=56 vol=0
Time=31028  Note on, chan=1 pitch=77 vol=0
Time=31032  Note on, chan=1 pitch=61 vol=0
Time=31372  Note on, chan=1 pitch=72 vol=85
Time=31376  Note on, chan=1 pitch=84 vol=85
Time=31376  Note on, chan=1 pitch=61 vol=82
Time=31380  Note on, chan=1 pitch=79 vol=82
Time=31380  Note on, chan=1 pitch=55 vol=89
Time=31384  Note on, chan=1 pitch=65 vol=82
Time=31572  Parameter, chan=1 c1=64 c2=127
